order,id,date,time,title,url,visitCount,typedCount,transition
16,4480,3/16/2026,22:25:10,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/school/university-of-pune/,1,0,link
17,4479,3/16/2026,22:23:49,Riddhi Bhorde | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/,5,0,link
18,4479,3/16/2026,22:23:40,Riddhi Bhorde | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/,5,0,link
19,4479,3/16/2026,22:23:16,Riddhi Bhorde | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/,5,0,link
20,4479,3/16/2026,22:23:13,Riddhi Bhorde | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/,5,0,link
21,4478,3/16/2026,22:23:11,Feed | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/?skipRedirect=true,1,0,link
22,4119,3/16/2026,22:18:18,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/feed/,17,0,link
23,4119,3/16/2026,22:17:23,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/feed/,17,0,link
24,4477,3/16/2026,22:17:21,Feed | LinkedIn,https://www.linkedin.com/feed?nis=true&%27%27=true&skipRedirect=true&lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3B%2BaAwOIthTpCZTYO64Xwnnw%3D%3D,1,0,link
25,4475,3/16/2026,22:17:13,Top job picks for you | LinkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4386323039&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4386323039%2C4384977631,2,0,link
26,4476,3/16/2026,22:17:10,Top job picks for you | LinkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4384977631&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4386323039%2C4384977631,1,0,link
27,4475,3/16/2026,22:17:06,Top job picks for you | LinkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4386323039&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4386323039%2C4384977631,2,0,link
28,4474,3/16/2026,22:17:06,Top job picks for you | LinkedIn,https://www.linkedin.com/jobs/collections/recommended/?origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4386323039%2C4384977631,1,0,link
29,4122,3/16/2026,22:17:01,LinkedIn,https://www.linkedin.com/notifications/?filter=all,9,4,typed
30,4473,3/16/2026,22:16:55,LinkedIn,https://www.linkedin.com/analytics/post-summary/urn:li:activity:7438234175981146112/,1,0,link
31,4122,3/16/2026,22:16:44,LinkedIn,https://www.linkedin.com/notifications/?filter=all,9,4,typed
32,355,3/16/2026,22:15:07,"Inbox (3,729) - sumitsharma78437@gmail.com - Gmail",https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox,18,0,link
33,4472,3/16/2026,22:14:54,Beware of fraudsters impersonating foundit partners - sumitsharma78437@gmail.com - Gmail,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzQfCMxWvgPNNgJWcxTvhTpStjPB,1,0,link
34,355,3/16/2026,22:14:37,"Inbox (3,729) - sumitsharma78437@gmail.com - Gmail",https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox,18,0,link
35,296,3/16/2026,22:14:33,"Inbox (3,729) - sumitsharma78437@gmail.com - Gmail",https://mail.google.com/mail/u/0/?tab=rm&ogbl,6,0,link
36,602,3/16/2026,22:14:12,Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/course_details/,42,0,link
37,585,3/16/2026,22:14:00,Data Science Course Overview - Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/overview/,176,0,link
38,583,3/16/2026,22:13:56,Internshala Trainings,https://trainings.internshala.com/dashboard/specializations/?tracking_source=signup,99,0,link
39,582,3/16/2026,22:13:47,Data Science Placement Course with AI,https://trainings.internshala.com/data-science-placement-guarantee-course/?utm_source=is_web_custom_homepage_banner,93,0,link
40,581,3/16/2026,22:13:43,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/dashboard,79,11,typed
41,4471,3/16/2026,18:22:59,SumitSharma_InternshalaResume (3).pdf,file:///C:/Users/sony/Downloads/SumitSharma_InternshalaResume%20(3).pdf,1,0,link
42,4470,3/16/2026,18:21:15,Subscribe to LinkedIn Premium | LinkedIn,https://www.linkedin.com/premium/survey/?isSS=false&referenceId=PG1XuHYtTPy78mmtweuQDw%3D%3D&upsellOrderOrigin=Tracking%3Av1%3Apremium_nav_upsell_text%3ANav%3AIn-Product,1,0,link
43,4119,3/16/2026,18:21:09,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/feed/,17,0,link
44,1464,3/16/2026,18:20:39,sumit Sharma | LinkedIn,https://www.linkedin.com/in/sumit-sharma-880840278/,19,0,link
45,3351,3/16/2026,18:20:28,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
46,4255,3/16/2026,18:20:28,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
47,3351,3/16/2026,18:20:26,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
48,4255,3/16/2026,18:20:26,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
49,3351,3/16/2026,18:19:48,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
50,4255,3/16/2026,18:19:48,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
51,3351,3/16/2026,18:19:44,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
52,4255,3/16/2026,18:19:44,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
53,4469,3/16/2026,18:19:33,Edit your public profile | LinkedIn,https://www.linkedin.com/public-profile/settings/?trk=d_flagship3_profile_self_view_public_profile&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base%3B0TfrrQa5QEuZxDj9%2BumPaQ%3D%3D,1,0,link
54,1464,3/16/2026,18:19:27,sumit Sharma | LinkedIn,https://www.linkedin.com/in/sumit-sharma-880840278/,19,0,link
55,4257,3/16/2026,18:19:27,Feed | LinkedIn,https://www.linkedin.com/in/sumit-sharma-880840278/?skipRedirect=true,5,0,link
56,3351,3/16/2026,18:19:02,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
57,4255,3/16/2026,18:19:02,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
58,3351,3/16/2026,18:18:59,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
59,4255,3/16/2026,18:18:59,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
60,4286,3/16/2026,18:18:49,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
61,3351,3/16/2026,18:18:23,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
62,4255,3/16/2026,18:18:23,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
63,3351,3/16/2026,18:18:15,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
64,4255,3/16/2026,18:18:15,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
65,3351,3/16/2026,18:17:51,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
66,4255,3/16/2026,18:17:51,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
67,3351,3/16/2026,18:17:40,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
68,4255,3/16/2026,18:17:40,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3#work-sample,12,0,link
69,3351,3/16/2026,18:17:18,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?source=placement_hub_resume&course_url=data-science-specialization-v3,38,0,link
70,4468,3/16/2026,18:17:17,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/resume?utm_source=placement_hub_resume&source=placement_hub_resume&course_url=data-science-specialization-v3&alp=dWlkPTIwNzk2MTUyJm10eXBlPWFsbyZzZD0yMDI2LTAzLTE2JnJzPTk0Nzk1N2FlJnNpZz02ZTQwYjA5MmFmNTk0M2E0ZjU0ZjQ3YjRiODhlZjllMGYwMjNjNjQ2NWEwZTY2YTFjZWFlMzhiODk4OGMzMzdh,1,0,link
71,786,3/16/2026,18:17:13,Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/placement_hub/home/,33,0,link
72,585,3/16/2026,18:17:04,Data Science Course Overview - Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/overview/,176,0,link
73,585,3/16/2026,18:17:04,Data Science Course Overview - Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/overview/,176,0,link
74,602,3/16/2026,18:16:47,Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/course_details/,42,0,link
75,585,3/16/2026,18:16:37,Data Science Course Overview - Internshala Trainings,https://trainings.internshala.com/pgc/dashboard/data-science-specialization-v3/overview/,176,0,link
76,583,3/16/2026,18:16:34,Internshala Trainings,https://trainings.internshala.com/dashboard/specializations/?tracking_source=signup,99,0,link
77,582,3/16/2026,18:16:30,Data Science Placement Course with AI,https://trainings.internshala.com/data-science-placement-guarantee-course/?utm_source=is_web_custom_homepage_banner,93,0,link
78,581,3/16/2026,18:16:27,Internships | Jobs | Trainings & Placement Courses | Post a Job,https://internshala.com/student/dashboard,79,11,typed
79,4119,3/16/2026,18:15:37,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/feed/,17,0,link
80,4467,3/16/2026,18:15:34,Feed | LinkedIn,https://www.linkedin.com/feed?nis=true&%27%27=true&skipRedirect=true&lipi=urn%3Ali%3Apage%3Ad_flagship3_notifications%3B5aba753f-5175-4ca6-80c0-36ccb554ca8d,1,0,link
81,4122,3/16/2026,18:15:19,LinkedIn,https://www.linkedin.com/notifications/?filter=all,9,4,typed
82,4286,3/16/2026,18:15:02,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,typed
83,4465,3/16/2026,18:14:30,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects#,4,0,link
84,4465,3/16/2026,18:14:25,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects#,4,0,link
85,4465,3/16/2026,18:14:25,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects#,4,0,link
86,4465,3/16/2026,18:14:25,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects#,4,0,link
87,4286,3/16/2026,18:13:57,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
88,4286,3/16/2026,18:13:57,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
89,4286,3/16/2026,18:13:56,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
90,4291,3/16/2026,18:13:53,Issues · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/issues,10,0,link
91,4291,3/16/2026,18:13:53,Issues · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/issues,10,0,link
92,4291,3/16/2026,18:13:53,Issues · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/issues,10,0,link
93,4291,3/16/2026,18:13:52,Issues · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/issues,10,0,link
94,4447,3/16/2026,18:13:49,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulls,3,0,link
95,4464,3/16/2026,18:13:45,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/actions/new,1,0,link
96,4463,3/16/2026,18:13:33,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulse,3,0,link
97,4463,3/16/2026,18:13:33,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulse,3,0,link
98,4463,3/16/2026,18:13:32,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulse,3,0,link
99,4460,3/16/2026,18:13:21,Projects · Projects,https://github.com/sumitsharma-11/Projects/projects?query=is%3Aopen,4,0,link
100,4460,3/16/2026,18:13:20,Projects · Projects,https://github.com/sumitsharma-11/Projects/projects?query=is%3Aopen,4,0,link
101,4460,3/16/2026,18:13:11,Projects · Projects,https://github.com/sumitsharma-11/Projects/projects?query=is%3Aopen,4,0,link
102,4461,3/16/2026,18:13:07,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1,3,0,link
103,4461,3/16/2026,18:13:05,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1,3,0,form_submit
104,4462,3/16/2026,18:13:02,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1?system_template=bug_tracker,3,0,link
105,4462,3/16/2026,18:12:55,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1?system_template=bug_tracker,3,0,form_submit
106,4462,3/16/2026,18:12:53,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1?system_template=bug_tracker,3,0,link
107,4461,3/16/2026,18:12:51,View 1 · @sumitsharma-11's untitled project,https://github.com/users/sumitsharma-11/projects/1,3,0,form_submit
108,4460,3/16/2026,18:12:39,Projects · Projects,https://github.com/sumitsharma-11/Projects/projects?query=is%3Aopen,4,0,link
109,4286,3/16/2026,18:12:21,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
110,4459,3/16/2026,18:12:09,Projects/WebScrapping.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/WebScrapping.ipynb,1,0,link
111,4286,3/16/2026,18:11:58,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
112,4458,3/16/2026,18:11:40,Projects/Document 2.pdf at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Document%202.pdf,1,0,link
113,4286,3/16/2026,18:11:35,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
114,4457,3/16/2026,18:11:12,Projects/Cleaning_EDA_MLmodel.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Cleaning_EDA_MLmodel.ipynb,1,0,link
115,4286,3/16/2026,18:11:03,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
116,4456,3/16/2026,18:10:55,Projects/CapstoneProject.pbix at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/CapstoneProject.pbix,1,0,link
117,4286,3/16/2026,18:10:49,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
118,4455,3/16/2026,18:10:36,Add files via upload · sumitsharma-11/Projects@d799f66,https://github.com/sumitsharma-11/Projects/commit/d799f66e865eba0f32ab8dd5c68c67d5d4641d19,1,0,link
119,4286,3/16/2026,18:10:06,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
120,4293,3/16/2026,18:10:02,Processing your files…,https://github.com/sumitsharma-11/Projects/upload,6,0,form_submit
121,4292,3/16/2026,18:09:03,Upload files · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/upload/main,8,0,link
122,4286,3/16/2026,18:08:57,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
123,4452,3/16/2026,18:08:40,Projects/MachineLearningProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/MachineLearningProject.ipynb,2,0,link
124,4453,3/16/2026,18:08:24,Projects/MachineLearningProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/MachineLearningProject.ipynb?short_path=4ddfe4f,2,0,link
125,4454,3/16/2026,18:08:10,Editing Projects/MachineLearningProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/edit/main/MachineLearningProject.ipynb,1,0,link
126,4453,3/16/2026,18:07:50,Projects/MachineLearningProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/MachineLearningProject.ipynb?short_path=4ddfe4f,2,0,link
127,4452,3/16/2026,18:07:35,Projects/MachineLearningProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/MachineLearningProject.ipynb,2,0,link
128,4286,3/16/2026,18:07:25,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
129,4293,3/16/2026,18:07:22,Processing your files…,https://github.com/sumitsharma-11/Projects/upload,6,0,form_submit
130,4292,3/16/2026,18:06:33,Upload files · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/upload/main,8,0,link
131,4286,3/16/2026,18:06:24,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
132,4450,3/16/2026,18:06:22,Projects/Task 1.sql at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Task%201.sql,3,0,link
133,4451,3/16/2026,18:06:20,Blaming Projects/Task 1.sql at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blame/main/Task%201.sql,2,0,link
134,4450,3/16/2026,18:06:09,Projects/Task 1.sql at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Task%201.sql,3,0,link
135,4451,3/16/2026,18:06:00,Blaming Projects/Task 1.sql at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blame/main/Task%201.sql,2,0,link
136,4450,3/16/2026,18:05:35,Projects/Task 1.sql at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Task%201.sql,3,0,link
137,4286,3/16/2026,18:05:26,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
138,4293,3/16/2026,18:05:22,Processing your files…,https://github.com/sumitsharma-11/Projects/upload,6,0,form_submit
139,4292,3/16/2026,18:04:14,Upload files · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/upload/main,8,0,link
140,4449,3/16/2026,18:03:57,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects/tree/main,1,0,link
141,4448,3/16/2026,18:03:53,sumitsharma-11/Projects at Excel-Project,https://github.com/sumitsharma-11/Projects/tree/Excel-Project,3,0,link
142,4287,3/16/2026,18:03:49,Branches · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/branches,10,0,link
143,4448,3/16/2026,18:03:35,sumitsharma-11/Projects at Excel-Project,https://github.com/sumitsharma-11/Projects/tree/Excel-Project,3,0,link
144,4287,3/16/2026,18:03:20,Branches · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/branches,10,0,link
145,4448,3/16/2026,18:03:07,sumitsharma-11/Projects at Excel-Project,https://github.com/sumitsharma-11/Projects/tree/Excel-Project,3,0,link
146,4286,3/16/2026,18:03:03,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
147,4286,3/16/2026,18:03:03,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
148,4286,3/16/2026,18:03:02,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
149,4447,3/16/2026,18:02:55,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulls,3,0,link
150,4447,3/16/2026,18:02:55,Pulse · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pulls,3,0,link
151,4286,3/16/2026,18:02:48,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
152,4446,3/16/2026,18:01:37,Projects/Spotify_Project_Presentation.pptx at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/Spotify_Project_Presentation.pptx,1,0,link
153,4286,3/16/2026,18:01:28,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
154,4286,3/16/2026,18:01:28,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
155,4286,3/16/2026,18:01:28,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
156,4445,3/16/2026,18:00:47,Excel Project by sumitsharma-11 · Pull Request #1 · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/pull/1,1,0,form_submit
157,4444,3/16/2026,17:59:28,Comparing main...Excel-Project · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/compare/main...Excel-Project?expand=1,1,0,link
158,4293,3/16/2026,17:59:24,Processing your files…,https://github.com/sumitsharma-11/Projects/upload,6,0,form_submit
159,4292,3/16/2026,17:55:08,Upload files · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/upload/main,8,0,link
160,4286,3/16/2026,17:55:04,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
161,4443,3/16/2026,17:55:00,New File at / · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/new/main,1,0,link
162,4286,3/16/2026,17:54:49,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
163,4442,3/16/2026,17:54:15,Projects/BarclaysProject.ipynb at main · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/blob/main/BarclaysProject.ipynb,1,0,link
164,4286,3/16/2026,17:53:43,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,link
165,4293,3/16/2026,17:53:40,Processing your files…,https://github.com/sumitsharma-11/Projects/upload,6,0,form_submit
166,4292,3/16/2026,17:53:19,Upload files · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/upload/main,8,0,link
167,4286,3/16/2026,17:53:10,sumitsharma-11/Projects: This repo is all about my data science projects,https://github.com/sumitsharma-11/Projects,40,0,reload
168,4287,3/16/2026,17:53:10,Branches · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/branches,10,0,link
169,4290,3/16/2026,17:53:09,Branches · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/branches/yours,4,0,link
170,4439,3/16/2026,17:53:08,Branches · sumitsharma-11/Projects,https://github.com/sumitsharma-11/Projects/branches/active,2,0,link
